Operating Airline,Promedio de Pasajeros
Icelandair,2799.7
Ameriflight,5.0
Cathay Pacific,17121.325581395347
Aeromexico,5463.822222222222
Etihad Airways,6476.088235294118
Philippine Airlines,10248.635658914729
United Airlines - Pre 07/01/2013,48915.46750232126
Turkish Airlines,8162.416666666667
Swiss International,6061.640287769784
Independence Air,6391.3
Miami Air International,107.375
Air France,11589.077519379845
Japan Airlines,6470.332046332046
Midwest Airlines,3883.0
"Atlas Air, Inc",34.0
JetBlue Airways,35261.13963963964
China Eastern,5498.402777777777
Mexicana Airlines,7993.806451612903
Air Canada,18251.560109289618
Allegiant Air,1516.8125
Northwest Airlines,26109.25
Sun Country Airlines,3992.652
Evergreen International Airlines,2.0
Horizon Air,5577.583333333333
United Airlines,72732.05829596413
World Airways,261.6666666666667
Virgin America,74405.35359116022
Jet Airways,4280.3125
British Airways,17625.124031007752
Swissport USA,258.6
Servisair,90.05555555555556
Hawaiian Airlines,8282.186046511628
Virgin Atlantic,9847.10465116279
SAS Airlines,5865.847222222223
TACA,5066.197674418605
KLM Royal Dutch Airlines,9221.813953488372
Boeing Company,18.0
ExpressJet Airlines,5631.84375
Compass Airlines,23358.55681818182
Lufthansa German Airlines,19301.96511627907
SkyWest Airlines,37083.83904465213
Asiana Airlines,5902.961240310077
China Airlines,9857.51550387597
Frontier Airlines,17787.676923076924
American Airlines,127164.38970588235
Air China,6618.335907335907
Air Berlin,2320.75
Delta Air Lines,68498.49740932643
Korean Air Lines,5678.461240310077
AirTran Airways,10569.238938053097
All Nippon Airways,6385.523255813953
Singapore Airlines,14746.647286821706
China Southern,4321.4375
US Airways,55317.81578947369
Air Canada Jazz,294.2142857142857
Emirates,9070.866666666667
Pacific Aviation,160.0
Air India Limited,2834.5
Atlantic Southeast Airlines,2176.909090909091
American Eagle Airlines,4006.5283018867926
Qantas Airways,4991.2164179104475
"COPA Airlines, Inc.",3418.0714285714284
Alaska Airlines,17251.637816245006
Xtra Airways,73.0
Republic Airlines,2452.5
Mesaba Airlines,2864.7272727272725
Air New Zealand,7452.339768339768
Spirit Airlines,2921.0416666666665
ATA Airlines,8744.636363636364
BelAir Airlines,415.3636363636364
Aer Lingus,4407.183673469388
WestJet Airlines,5338.155339805825
Mesa Airlines,3710.5811965811968
LAN Peru,2786.011111111111
Southwest Airlines,81188.15857605178
XL Airways France,2223.1612903225805
EVA Airways,13116.356589147286
